"participant","start","end","age","sex","ethnicity","country","par_bilingual","par_disorder","par_vision","par_lang_1","par_fluency_1","variability","similarity","match_list","order","speaker"
"59d9d9cd8fd07a0001842484",2023-07-18 21:28:41,2023-07-18 22:25:02,"29","Male","Mixed","United States of America","No","No","Yes","English",5,"variant","similar",1,"order1",6
"5be084ec4c397b0001ec3567",2023-07-18 21:54:03,2023-07-18 22:22:34,"28","Male","White","United States of America","No","No","Yes","English",5,"invariant","dissimilar",2,"order1",6
"5f2c760dfff10e03206a686b",2023-07-18 21:37:53,2023-07-18 22:36:04,"23","Female","White","United States of America","No","No","Yes","English",5,"variant","similar",1,"order1",6
"63d18647419ae52f5e141607",2023-07-18 22:04:16,2023-07-18 22:34:28,"35","Male","Other","United States of America","No","No","Yes","English",5,"invariant","dissimilar",2,"order1",6
"587418895c17910001ea4e75",2023-07-18 20:45:47,2023-07-18 21:44:32,"31","Female","White","United States of America","No","No","Yes","English",5,"variant","dissimilar",1,"order1",6
"612c6bd26f5f81c5765989d9",2023-07-18 22:12:40,2023-07-18 22:55:16,"31","Male","Other","United States of America","No","No","Yes","English",5,"variant","control",2,"order1",6
"5fa935b3d330fa0429da624a",2023-07-18 21:11:01,2023-07-18 21:45:34,"37","Female","White","United States of America","No","No","Yes","English",5,"variant","dissimilar",1,"order1",6
"6138f7e0ad42e592ca5f2024",2023-07-18 22:15:20,2023-07-18 22:50:23,"35","Male","Black","United States of America","No","No","Yes","English",5,"invariant","similar",1,"order1",6
"60bc011503db109b7d46851d",2023-07-18 21:15:50,2023-07-18 21:46:53,"34","Female","White","United States of America","No","No","Yes","English",5,"variant","similar",2,"order1",6
"630981b0f861918e8174a43e",2023-07-18 22:08:18,2023-07-18 22:49:01,"40","Male","White","United States of America","No","No","Yes","English",5,"variant","similar",1,"order1",6
"60fd05fdd8f4081c41972a1b",2023-07-18 21:31:35,2023-07-18 22:06:13,"20","Female","White","United States of America","No","No","Yes","English",5,"invariant","similar",2,"order1",6
"63034df51d918e1e3b97e5ce",2023-07-18 21:33:17,2023-07-18 22:07:59,"21","Male","White","United States of America","No","No","Yes","English",5,"variant","dissimilar",1,"order1",6
"5f5834134283933a1c3b42d0",2023-07-18 21:41:47,2023-07-18 22:11:36,"38","Male","White","United States of America","No","No","Yes","English",5,"variant","dissimilar",2,"order1",6
"6234c1abfc04a4163c09a78f",2023-07-18 22:44:13,2023-07-18 23:18:48,"36","Female","Black","United States of America","No","No","Yes","English",5,"invariant","similar",1,"order1",6
"5db598f48cf15c000b57eb36",2023-07-18 21:48:38,2023-07-18 22:15:05,"30","Female","White","United States of America","No","No","Yes","English",5,"invariant","similar",1,"order1",6
"5e2a425609072a0abb76094b",2023-07-18 21:50:21,2023-07-18 22:19:16,"38","Male","White","United States of America","No","No","Yes","English",5,"invariant","similar",2,"order1",6
"6116f60ae8f48f7d1244e8d3",2023-07-18 22:54:49,2023-07-18 23:22:13,"23","Female","White","United States of America","No","No","Yes","English",5,"invariant","similar",2,"order1",6
"5bdc4c1b75ae900001f30a87",2023-07-18 21:50:28,2023-07-18 22:25:06,"39","Female","White","United States of America","No","No","Yes","English",5,"invariant","similar",1,"order1",6
"609ac8ca9e4928ec75d40a10",2023-07-18 21:53:55,2023-07-18 22:23:57,"35","Female","White","United States of America","No","No","Yes","English",5,"invariant","similar",2,"order1",6
"63d410114a361b7bee9c12b9",2023-07-18 22:55:57,2023-07-18 23:29:10,"36","Female","Black","United States of America","No","No","Yes","English",5,"variant","dissimilar",1,"order1",6
"63f7870b7fabda95fb6586d0",2023-07-18 22:00:41,2023-07-18 22:29:56,"25","Male","Black","United States of America","No","No","Yes","English",5,"invariant","dissimilar",2,"order1",6
"5ba064c10d4416000157a224",2023-07-18 22:03:19,2023-07-18 22:41:38,"32","Male","Black","United States of America","No","No","Yes","English",5,"invariant","dissimilar",2,"order1",6
"5b182365316c630001abff4f",2023-07-18 22:12:16,2023-07-18 22:41:29,"36","Female","White","United States of America","No","No","Yes","English",5,"variant","dissimilar",1,"order1",6
"5bef87523d79ff0001275154",2023-07-18 22:12:24,2023-07-18 22:53:53,"33","Male","White","United States of America","No","No","Yes","English",5,"invariant","similar",1,"order1",6
"5930c7fdfa699e0001017cc1",2023-07-18 21:56:09,2023-07-18 22:50:00,"35","Male","White","United States of America","No","No","Yes","English",5,"variant","control",2,"order1",6
"5d67476c0ca617001699fe7a",2023-07-18 22:14:34,2023-07-18 22:53:24,"32","Female","White","United States of America","No","No","Yes","English",5,"invariant","dissimilar",1,"order1",6
"5a348ea750833c0001ee9550",2023-07-18 22:12:33,2023-07-18 23:10:01,"35","Female","White","United States of America","No","No","Yes","English",5,"variant","control",2,"order1",6
"63210b26bd58960c97b47ddc",2023-07-18 22:12:32,2023-07-18 23:07:34,"33","Male","White","United States of America","No","No","Yes","English",5,"invariant","similar",2,"order1",6
"5658000ca9872d0011e1ba26",2023-07-18 22:44:48,2023-07-18 23:21:42,"34","Male","White","United States of America","No","No","Yes","English",5,"variant","dissimilar",1,"order1",6
"6296290ec41bde1525dbb77e",2023-07-18 23:11:40,2023-07-18 23:47:41,"37","Male","White","United States of America","No","No","Yes","English",5,"variant","control",1,"order1",6
"59bb0a533a9ab6000111944a",2023-07-19 00:47:07,2023-07-19 01:18:33,"23","Male","White","United States of America","No","No","Yes","English",5,"variant","control",1,"order1",6
"5d09895e65eb3400189cc207",2023-07-19 00:50:58,2023-07-19 01:27:58,"37","Female","Black","United States of America","No","No","Yes","English",5,"variant","similar",2,"order1",6
"5e7d031be805560ae6b93dba",2023-09-07 18:09:26,2023-09-07 18:37:04,"33","Female","Mixed","United States of America","No","No","Yes","English",5,"invariant","dissimilar",3,"order1",6
"6294ea611ee4f49421c6b905",2023-09-07 18:17:55,2023-09-07 18:52:29,"36","Male","White","United States of America","No","No","Yes","English",5,"variant","control",3,"order1",6
"631b883c9a6d6722114a6eed",2023-09-07 18:25:26,2023-09-07 19:01:58,"24","Female","White","United States of America","No","No","Yes","English",5,"variant","dissimilar",3,"order1",6
"63d00622fd37f382d3ce2ec1",2023-09-07 17:46:49,2023-09-07 18:24:52,"27","Male","White","United States of America","No","No","Yes","English",5,"invariant","control",3,"order1",6
"631a68ee10ec68377cb03457",2023-09-07 18:04:29,2023-09-07 18:35:01,"36","Male","White","United States of America","No","No","Yes","English",5,"variant","dissimilar",3,"order1",6
"57c4f62865da940001f6b7e4",2023-09-07 18:26:44,2023-09-07 19:03:54,"30","Female","Black","United States of America","No","No","Yes","English",5,"variant","dissimilar",3,"order1",6
"598fba148380cc00012a3ce7",2023-09-07 18:28:14,2023-09-07 19:01:57,"37","Female","White","United States of America","No","No","Yes","English",5,"variant","dissimilar",3,"order1",6
"5be2741f86b6f3000130e0fd",2023-09-07 18:01:02,2023-09-07 18:31:47,"32","Female","White","United States of America","No","No","Yes","English",5,"invariant","similar",3,"order1",6
"5c8d1bee1bb19f00019d519e",2023-09-07 18:14:40,2023-09-07 18:45:00,"31","Male","Black","United States of America","No","No","Yes","English",5,"invariant","control",3,"order1",6
"5ba863a346de410001ecfb2a",2023-09-07 18:20:21,2023-09-07 18:57:05,"39","Female","Black","United States of America","No","No","Yes","English",5,"invariant","control",3,"order1",6
"5e7995061a79d455837f95e1",2023-09-07 18:19:57,2023-09-07 18:54:01,"23","Male","Black","United States of America","No","No","Yes","English",5,"invariant","similar",3,"order1",6
"63e548215b42b3f3aa069dc2",2023-09-07 18:21:11,2023-09-07 18:54:33,"36","Male","Black","United States of America","No","No","Yes","English",5,"invariant","dissimilar",3,"order1",6
"60a7d7b70d3cf8f48a8a490d",2023-09-07 18:21:37,2023-09-07 18:56:23,"33","Male","White","United States of America","No","No","Yes","English",5,"invariant","similar",3,"order1",6
"5c11f3face422b0001d69416",2023-09-07 18:23:12,2023-09-07 18:59:09,"40","Male","White","United States of America","No","No","Yes","English",5,"invariant","similar",3,"order1",6
"63d7e469c2a30fc463e06b5d",2023-09-07 18:26:20,2023-09-07 18:55:30,"40","Male","White","United States of America","No","No","Yes","English",5,"invariant","dissimilar",3,"order1",6
"63ea63669423c84daf2c5dbd",2023-09-07 18:25:45,2023-09-07 19:03:36,"34","Male","Black","United States of America","No","No","Yes","English",5,"variant","similar",3,"order1",6
"577d11f88b3e2300016d74a0",2023-09-07 18:23:46,2023-09-07 19:04:44,"38","Female","White","United States of America","No","No","Yes","English",5,"invariant","control",3,"order1",6
"62964d27c2b2866faa677493",2023-09-07 18:20:02,2023-09-07 19:13:19,"34","Male","White","United States of America","No","No","Yes","English",5,"invariant","similar",3,"order1",6
"5d901b10d7a21a001d635d12",2023-09-07 19:42:52,2023-09-07 20:14:06,"32","Male","White","United States of America","No","No","Yes","English",5,"invariant","control",3,"order1",6
"5b97f70161c19e00018db4a8",2023-09-07 21:03:04,2023-09-07 21:51:08,"39","Male","Mixed","United States of America","No","No","Yes","English",5,"variant","similar",3,"order1",6
"5dd0098e01fadf0fa6c3a15f",2023-07-19 03:55:27,2023-07-19 04:24:46,"37","Female","Mixed","United States of America","No","No","Yes","English",5,"invariant","dissimilar",1,"order2",3
"5f127dfdebc35e072317bc00",2023-07-19 03:47:57,2023-07-19 04:18:29,"22","Female","White","United States of America","No","No","Yes","English",5,"variant","similar",2,"order2",3
"6090578fb2299eacaec32b7a",2023-07-19 04:21:06,2023-07-19 04:50:18,"28","Female","Asian","United States of America","No","No","Yes","English",5,"invariant","dissimilar",1,"order2",3
"63d77a647dbf6c0c53b0d375",2023-07-19 04:22:29,2023-07-19 04:59:40,"36","Male","White","United States of America","No","No","Yes","English",5,"variant","similar",2,"order2",3
"64018f4d1a16dfe2b0f7c552",2023-07-19 04:23:53,2023-07-19 04:58:53,"34","Female","Mixed","United States of America","No","No","Yes","English",5,"invariant","dissimilar",2,"order2",3
"56bd7bf3d4e2180005a86846",2023-07-19 04:39:48,2023-07-19 05:14:47,"38","Female","Black","United States of America","No","No","Yes","English",5,"invariant","similar",2,"order2",3
"6109b95a3954ea5afdd7add9",2023-07-19 03:45:49,2023-07-19 04:17:01,"33","Female","White","United States of America","No","No","Yes","English",5,"invariant","dissimilar",2,"order2",3
"63b6be5e93fb553e9f17f8a6",2023-07-19 03:30:55,2023-07-19 04:21:05,"32","Male","Mixed","United States of America","No","No","Yes","English",5,"invariant","dissimilar",1,"order2",3
"5fc17e97c8c4d714655b2c6f",2023-07-19 03:05:22,2023-07-19 03:59:14,"24","Female","White","United States of America","No","No","Yes","English",5,"variant","control",1,"order2",3
"5a6f57166923df0001ef8d02",2023-07-19 03:13:53,2023-07-19 03:57:05,"40","Female","White","United States of America","No","No","Yes","English",5,"variant","control",1,"order2",3
"5e89550b220e2f5f277597f0",2023-07-19 02:52:01,2023-07-19 03:21:53,"24","Female","White","United States of America","No","No","Yes","English",5,"invariant","similar",2,"order2",3
"610c35b435b38d01814c62bb",2023-07-19 03:51:18,2023-07-19 04:23:29,"28","Female","White","United States of America","No","No","Yes","English",5,"invariant","dissimilar",2,"order2",3
"5f7e6f9c1212c514f9437e3a",2023-07-19 04:08:18,2023-07-19 04:49:57,"21","Male","Black","United States of America","No","No","Yes","English",5,"invariant","similar",1,"order2",3
"63be1e8422e3cbf3f1aec1ed",2023-07-19 04:16:01,2023-07-19 04:45:21,"24","Male","Other","United States of America","No","No","Yes","English",5,"variant","control",2,"order2",3
"5ff94e71c59814230b0fb713",2023-07-19 04:25:05,2023-07-19 04:58:43,"31","Male","Black","United States of America","No","No","Yes","English",5,"variant","control",1,"order2",3
"5dc8db55d210e463580cf6f5",2023-07-19 03:28:29,2023-07-19 03:59:40,"37","Male","White","United States of America","No","No","Yes","English",5,"variant","dissimilar",1,"order2",3
"5cab7cc86d3a6e001519d9e9",2023-07-19 03:35:00,2023-07-19 04:11:12,"34","Male","White","United States of America","No","No","Yes","English",5,"invariant","similar",1,"order2",3
"60a69e84d2f871b61d608e89",2023-07-19 04:34:09,2023-07-19 05:15:53,"32","Male","White","United States of America","No","No","Yes","English",5,"variant","control",2,"order2",3
"5aee513f3606ab0001b92b29",2023-07-19 04:30:29,2023-07-19 05:13:53,"38","Male","White","United States of America","No","No","Yes","English",5,"variant","control",1,"order2",3
"6054e1ddb68b58dd23242765",2023-07-19 03:42:26,2023-07-19 04:09:44,"36","Male","Mixed","United States of America","No","No","Yes","English",5,"invariant","dissimilar",2,"order2",3
"5dce29700ad506063969a4a5",2023-07-19 03:38:19,2023-07-19 04:21:39,"39","Female","White","United States of America","No","No","Yes","English",5,"invariant","dissimilar",1,"order2",3
"5f0a7dec44c42c19a6c9f6d9",2023-07-19 04:29:20,2023-07-19 05:29:44,"35","Male","White","United States of America","No","No","Yes","English",5,"variant","control",1,"order2",3
"63d83e6e48dd3f8da9458dd3",2023-07-19 03:52:03,2023-07-19 04:30:40,"39","Female","White","United States of America","No","No","Yes","English",5,"variant","similar",1,"order2",3
"5d5e4baff521f100166c5d3a",2023-07-19 05:02:00,2023-07-19 05:37:06,"25","Male","Black","United States of America","No","No","Yes","English",5,"variant","similar",1,"order2",3
"601c695c141cd278d59f3feb",2023-07-19 05:20:08,2023-07-19 05:55:53,"22","Female","Black","United States of America","No","No","Yes","English",5,"variant","control",2,"order2",3
"63d45eb3b02798ba45f00225",2023-07-19 15:52:07,2023-07-19 16:25:25,"28","Female","White","United States of America","No","No","Yes","English",5,"variant","similar",2,"order2",3
"63dc7c4191d5e30193f1db36",2023-07-19 16:38:06,2023-07-19 17:09:23,"36","Female","White","United States of America","No","No","Yes","English",5,"invariant","similar",1,"order2",3
"63026a8fd8429b224cd2a134",2023-07-19 16:40:33,2023-07-19 17:50:25,"26","Male","White","United States of America","No","No","Yes","English",5,"variant","similar",2,"order2",3
"631b4849c2daec6a4966605c",2023-07-19 03:59:03,2023-07-19 04:28:29,"38","Male","Black","United States of America","No","No","Yes","English",5,"variant","similar",1,"order2",3
"614f58258eaf7063aa888d90",2023-07-19 04:03:34,2023-07-19 04:43:28,"29","Female","Black","United States of America","No","No","Yes","English",5,"invariant","dissimilar",2,"order2",3
"5c2dae2110677f0001dd1137",2023-07-19 04:06:34,2023-07-19 04:36:55,"40","Male","White","United States of America","No","No","Yes","English",5,"invariant","dissimilar",1,"order2",3
"627809c52874925390a423a6",2023-07-19 04:12:56,2023-07-19 04:52:21,"31","Female","White","United States of America","No","No","Yes","English",5,"invariant","similar",1,"order2",3
"5c574d3f53fba80001bd302e",2023-07-19 04:29:12,2023-07-19 05:01:50,"32","Female","White","United States of America","No","No","Yes","English",5,"invariant","similar",2,"order2",3
"63e5a6690eeedc20da056717",2023-07-19 04:24:55,2023-07-19 05:11:04,"39","Male","White","United States of America","No","No","Yes","English",5,"invariant","similar",2,"order2",3
"59ff81fd5d06850001afeeab",2023-07-19 04:40:06,2023-07-19 05:12:00,"28","Male","Black","United States of America","No","No","Yes","English",5,"variant","control",1,"order2",3
"5e2394c45514e6642dd8c16a",2023-09-08 00:28:44,2023-09-08 01:01:18,"37","Male",NA,"United States of America","No","No","Yes","English",5,"invariant","dissimilar",3,"order2",3
"592bb32c943e670001cde123",2023-09-08 00:40:45,2023-09-08 01:42:57,"38","Male","White","United States of America","No","No","Yes","English",5,"invariant","dissimilar",3,"order2",3
"5f66f0768edb5b00091b6f25",2023-09-08 00:41:35,2023-09-08 01:13:14,"25","Male","Black","United States of America","No","No","Yes","English",5,"invariant","dissimilar",3,"order2",3
"6074b929f753216d88c77e88",2023-09-08 00:45:49,2023-09-08 01:20:26,"32","Male","White","United States of America","No","No","Yes","English",5,"invariant","control",3,"order2",3
"610c42860e3a1a52be2b77da",2023-09-07 23:17:25,2023-09-07 23:53:52,"28","Female","Black","United States of America","No","No","Yes","English",5,"invariant","control",3,"order2",3
"63d81e2fb6c8f0da25fea602",2023-09-07 23:43:34,2023-09-08 00:24:08,"28","Male","Black","United States of America","No","No","Yes","English",5,"variant","similar",3,"order2",3
"55c694e3fdf99b6c4f28595f",2023-09-08 00:02:49,2023-09-08 00:32:17,"36","Male","White","United States of America","No","No","Yes","English",5,"variant","dissimilar",3,"order2",3
"5ec6df52f52d1111598b1221",2023-09-08 00:36:36,2023-09-08 01:09:04,"38","Male","White","United States of America","No","No","Yes","English",5,"invariant","similar",3,"order2",3
"5d3695969749cc00165c222f",2023-09-08 00:36:50,2023-09-08 01:06:21,"28","Male","White","United States of America","No","No","Yes","English",5,"variant","control",3,"order2",3
"55a75835fdf99b26395fae40",2023-09-08 00:43:42,2023-09-08 01:11:37,"33","Female","White","United States of America","No","No","Yes","English",5,"invariant","control",3,"order2",3
"5dbf704fa3f5cb40876271fc",2023-09-08 00:39:26,2023-09-08 01:25:38,"32","Female","White","United States of America","No","No","Yes","English",5,"invariant","similar",3,"order2",3
"5fadd628cd4e9e1c42dab969",2023-09-08 00:46:30,2023-09-08 01:24:34,"37","Female","White","United States of America","No","No","Yes","English",5,"invariant","control",3,"order2",3
"60220af9eeca542c5042d457",2023-09-08 00:23:52,2023-09-08 00:57:21,"29","Male","White","United States of America","No","No","Yes","English",5,"variant","control",3,"order2",3
"5ec0ba1bfa01894cceaa1b8e",2023-09-08 00:24:06,2023-09-08 00:57:36,"34","Female","White","United States of America","No","No","Yes","English",5,"variant","dissimilar",3,"order2",3
"631664e2a5d07c0ad889cf91",2023-09-08 00:32:14,2023-09-08 01:06:05,"32","Male","White","United States of America","No","No","Yes","English",5,"variant","control",3,"order2",3
"5af835d8e19f8c00019e6dc0",2023-09-08 00:41:24,2023-09-08 01:11:54,"40","Male","White","United States of America","No","No","Yes","English",5,"invariant","control",3,"order2",3
"63ea5b93d1c6d38e1f57dcfa",2023-09-08 00:45:44,2023-09-08 01:13:13,"38","Male","White","United States of America","No","No","Yes","English",5,"variant","dissimilar",3,"order2",3
"614e2b2bd900d5f91096ac12",2023-09-08 01:10:00,2023-09-08 01:36:40,"37","Male","White","United States of America","No","No","Yes","English",5,"variant","similar",3,"order2",3
"581d38509b5b8800014d507e",2023-09-08 02:41:38,2023-09-08 03:09:52,"40","Male","White","United States of America","No","No","Yes","English",5,"variant","dissimilar",3,"order2",3
"60fcc00af3ec0d2d4b95c4be",2023-07-19 20:47:16,2023-07-19 21:23:48,"27","Female","White","United States of America","No","No","Yes","English",5,"variant","dissimilar",2,"order3",4
"5f1cba909780db13786ebe77",2023-07-19 21:04:57,2023-07-19 21:37:08,"33","Male","White","United States of America","No","No","Yes","English",5,"variant","control",1,"order3",4
"615a0ac5438649c5134564f1",2023-07-19 21:10:45,2023-07-19 21:52:37,"25","Female","Other","United States of America","No","No","Yes","English",5,"variant","similar",2,"order3",4
"6400d8d5cc4ede5d5619eb4f",2023-07-19 21:12:44,2023-07-19 21:42:48,"24","Male","White","United States of America","No","No","Yes","English",5,"invariant","similar",2,"order3",4
"5751d7ab330ae900070385c2",2023-07-19 19:12:31,2023-07-19 19:59:42,"28","Female","White","United States of America","No","No","Yes","English",5,"invariant","similar",2,"order3",4
"6108781e0d1dd936d2b75432",2023-07-19 21:17:39,2023-07-19 21:51:25,"32","Female","White","United States of America","No","No","Yes","English",5,"variant","dissimilar",2,"order3",4
"61351c3a1e3e96156bc86116",2023-07-19 19:20:34,2023-07-19 19:51:45,"34","Female","White","United States of America","No","No","Yes","English",5,"variant","control",2,"order3",4
"60ef44f89b4d67be02d8eca9",2023-07-19 21:20:07,2023-07-19 21:53:34,"36","Male","White","United States of America","No","No","Yes","English",5,"invariant","dissimilar",1,"order3",4
"5fd5381b5807b616d910c586",2023-07-19 20:33:55,2023-07-19 21:04:41,"25","Female","White","United States of America","No","No","Yes","English",5,"variant","dissimilar",1,"order3",4
"5eb81d360943fe74d6aba62b",2023-07-19 21:03:28,2023-07-19 21:40:13,"38","Male","Mixed","United States of America","No","No","Yes","English",5,"variant","similar",1,"order3",4
"5ec67c1f9d0f0906b783865f",2023-07-19 21:08:39,2023-07-19 21:36:25,"31","Male","White","United States of America","No","No","Yes","English",5,"variant","similar",1,"order3",4
"60e7044ddc2523fab6cbc0cd",2023-07-19 21:12:54,2023-07-19 21:54:12,"30","Female","White","United States of America","No","No","Yes","English",5,"variant","control",1,"order3",4
"62e02b1ed5b0fbc1b1dc09e7",2023-07-19 21:17:51,2023-07-19 21:50:43,"36","Female","Black","United States of America","No","No","Yes","English",5,"variant","control",1,"order3",4
"616d0c1b16a0437469b6cd74",2023-07-19 20:20:24,2023-07-19 20:53:29,"34","Female","Black","United States of America","No","No","Yes","English",5,"variant","dissimilar",2,"order3",4
"63655ebbb1b1d02244d46c45",2023-07-19 21:26:21,2023-07-19 22:04:53,"30","Male","White","United States of America","No","No","Yes","English",5,"variant","dissimilar",1,"order3",4
"6400db7df5056f80cbbdf386",2023-07-19 20:30:29,2023-07-19 21:19:21,"26","Male","White","United States of America","No","No","Yes","English",5,"variant","dissimilar",1,"order3",4
"590f901cdcc7b30001eed302",2023-07-19 21:01:24,2023-07-19 21:29:53,"40","Female","White","United States of America","No","No","Yes","English",5,"variant","control",1,"order3",4
"632096b5574155e8727c50cc",2023-07-19 21:06:08,2023-07-19 21:32:28,"30","Male","White","United States of America","No","No","Yes","English",5,"variant","similar",2,"order3",4
"628494ff07588fd08c37117b",2023-07-19 21:07:10,2023-07-19 21:42:18,"30","Female","White","United States of America","No","No","Yes","English",5,"variant","dissimilar",1,"order3",4
"61082ceb08c185b7f1f61331",2023-07-19 21:08:20,2023-07-19 21:40:00,"30","Female","Mixed","United States of America","No","No","Yes","English",5,"variant","similar",2,"order3",4
"63de2e4a0c6fd41343f82a79",2023-07-20 00:07:44,2023-07-20 01:40:04,"31","Female","White","United States of America","No","No","Yes","English",5,"variant","control",2,"order3",4
"60f5d5e358c70ad7a534bc50",2023-07-19 21:06:31,2023-07-19 21:42:46,"33","Female","White","United States of America","No","No","Yes","English",5,"invariant","dissimilar",2,"order3",4
"5dd9923922749791b319fc19",2023-07-19 20:44:10,2023-07-19 22:04:36,"40","Male","Mixed","United States of America","No","No","Yes","English",5,"variant","dissimilar",2,"order3",4
"613461a8b9035cf9b29ad84d",2023-07-19 21:18:39,2023-07-19 21:47:00,"20","Male","White","United States of America","No","No","Yes","English",5,"variant","dissimilar",1,"order3",4
"5afa19a4f856320001cf920f",2023-07-19 21:21:28,2023-07-19 21:51:15,"39","Male","White","United States of America","No","No","Yes","English",5,"invariant","dissimilar",2,"order3",4
"5bc0ac845a09ea00012e2d30",2023-07-19 04:29:55,2023-07-19 04:58:42,"36","Female","White","United States of America","No","No","Yes","English",5,"variant","control",1,"order3",4
"5ccc60abe787e000167f8143",2023-07-19 21:19:22,2023-07-19 21:55:44,"24","Male","White","United States of America","No","No","Yes","English",5,"variant","dissimilar",2,"order3",4
"6282566b46de7431f04213f6",2023-07-19 23:35:57,2023-07-20 00:06:37,"24","Female","White","United States of America","No","No","Yes","English",5,"variant","control",2,"order3",4
"60fcdfac81bec43078236e55",2023-07-20 00:31:02,2023-07-20 01:07:03,"31","Female","Mixed","United States of America","No","No","Yes","English",5,"variant","control",2,"order3",4
"60f75bfcee2ff53ef6a14c89",2023-07-19 23:40:30,2023-07-20 00:17:49,"23","Female","White","United States of America","No","No","Yes","English",5,"variant","dissimilar",2,"order3",4
"5eedaabd4b84b8000b78b0b5",2023-09-08 19:54:33,2023-09-08 20:29:24,"23","Male","White","United States of America","No","No","Yes","English",5,"variant","similar",3,"order3",4
"596fea64a5c32a0001584755",2023-09-08 20:01:29,2023-09-08 20:32:29,"31","Female","White","United States of America","No","No","Yes","English",5,"invariant","similar",3,"order3",4
"63d83a19b8acced30d2e0d32",2023-09-08 21:16:18,2023-09-08 21:51:38,"34","Male","White","United States of America","No","No","Yes","English",5,"variant","dissimilar",3,"order3",4
"5f00ec86304f7322eb8dfa41",2023-09-08 19:30:22,2023-09-08 20:00:53,"25","Female","Black","United States of America","No","No","Yes","English",5,"invariant","dissimilar",3,"order3",4
"5efec7794ff2093d25ffa6d0",2023-09-08 18:48:34,2023-09-08 19:26:03,"38","Male","White","United States of America","No","No","Yes","English",5,"variant","control",3,"order3",4
"63e52399159a69bf0ea848c6",2023-09-08 19:51:57,2023-09-08 20:22:14,"29","Male","White","United States of America","No","No","Yes","English",5,"invariant","similar",3,"order3",4
"60e21c244ee73fb4d76e7f74",2023-09-08 19:58:22,2023-09-08 20:31:07,"30","Female","White","United States of America","No","No","Yes","English",5,"variant","control",3,"order3",4
"58635484a73baa00010db537",2023-09-08 20:07:17,2023-09-08 20:41:10,"37","Female","White","United States of America","No","No","Yes","English",5,"invariant","similar",3,"order3",4
"63d8766016c0bfcd19d3c732",2023-09-08 19:08:28,2023-09-08 19:39:24,"36","Male","White","United States of America","No","No","Yes","English",5,"variant","dissimilar",3,"order3",4
"5f4a835e9e84256238129995",2023-09-08 19:40:35,2023-09-08 20:08:09,"32","Female","White","United States of America","No","No","Yes","English",5,"variant","control",3,"order3",4
"5efe8c25e921d23a9daec079",2023-09-08 19:39:45,2023-09-08 20:15:10,"29","Female","Black","United States of America","No","No","Yes","English",5,"variant","control",3,"order3",4
"648b17e9f65b263c62471c85",2023-09-08 19:52:36,2023-09-08 20:27:48,"21","Male","White","United States of America","No","No","Yes","English",5,"variant","dissimilar",3,"order3",4
"600cb9f465eb1c40307723a8",2023-09-08 19:57:38,2023-09-08 20:37:12,"29","Female","Asian","United States of America","No","No","Yes","English",5,"invariant","control",3,"order3",4
